date,mktrf,smb,hml,rf,umd
20081001,-0.004700,-0.008200,0.027800,0.00004,-0.017800
20081002,-0.042000,-0.005900,0.006300,0.00004,0.010200
20081003,-0.014700,-0.008300,-0.012400,0.00004,0.019100
20081006,-0.039500,-0.000600,0.004500,0.00004,0.009900
20081007,-0.057600,0.010700,-0.034000,0.00004,0.031000
20081008,-0.012700,-0.002100,-0.022000,0.00004,0.014000
20081009,-0.073600,-0.002400,-0.025400,0.00004,0.020900
20081010,-0.009500,0.038300,0.030100,0.00004,-0.003800
20081013,0.113500,-0.024200,-0.023600,0.00004,-0.013100
20081014,-0.008600,-0.029900,0.044300,0.00004,-0.019500
20081015,-0.087800,0.002400,0.008200,0.00004,0.018900
20081016,0.043200,0.021700,-0.016400,0.00004,0.014400
20081017,-0.004100,-0.007800,-0.007700,0.00004,-0.006300
20081020,0.045500,-0.012400,-0.008700,0.00004,0.007000
20081021,-0.029500,0.000600,0.005700,0.00004,0.004800
20081022,-0.057600,0.009000,0.001300,0.00004,0.012300
20081023,0.002900,-0.033500,-0.008600,0.00004,0.018200
20081024,-0.032800,-0.000900,-0.003500,0.00004,0.010100
20081027,-0.033600,-0.008600,0.003500,0.00004,0.004500
20081028,0.097700,-0.037500,0.002700,0.00004,-0.016000
20081029,-0.004700,0.028200,-0.013900,0.00004,-0.009500
20081030,0.029900,0.020100,-0.006400,0.00004,-0.009700
20081031,0.018800,0.022800,0.019600,0.00004,-0.004200
20081103,-0.000500,0.001300,0.005900,0.00001,-0.003800
20081104,0.035700,-0.026100,0.002000,0.00001,-0.025500
20081105,-0.050500,0.002000,-0.014600,0.00001,0.021500
20081106,-0.048300,0.015500,-0.004100,0.00001,0.031900
20081107,0.026200,-0.011500,-0.007800,0.00001,-0.002300
20081110,-0.013200,-0.007000,-0.020400,0.00001,0.018100
20081111,-0.022500,0.001600,0.000200,0.00001,0.027600
20081112,-0.051400,-0.005000,-0.010700,0.00001,0.035200
20081113,0.067900,0.007600,-0.001100,0.00001,-0.019200
20081114,-0.042700,-0.022300,0.000300,0.00001,0.008100
20081117,-0.024300,0.018200,-0.016200,0.00001,0.026700
20081118,0.007000,-0.012700,-0.006900,0.00001,0.014600
20081119,-0.062900,-0.000300,-0.030900,0.00001,0.039800
20081120,-0.066000,0.017000,-0.024900,0.00001,0.045800
20081121,0.061100,-0.012500,-0.020400,0.00001,-0.005400
20081124,0.062700,-0.013200,0.046500,0.00001,-0.073700
